concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
distinct_entities,"Temporal logic, set operations, and aggregation",supported,De-dup of entity references in a counting context; local_number_relation counts distinct entities around a point. Operator.,,"local_number_relation, count_at_least",False,,MED
during,"Temporal logic, set operations, and aggregation",supported,Allen 'during'; evaluate predicate within a persists_for interval / outcome window. Operator during.,,"persists_for, relation_destination_entry window",False,,HIGH
dwell_time,"Temporal logic, set operations, and aggregation",supported,Duration a predicate/region-membership holds; persists_for yields the interval length. Operator. (region dwell via relation_destination_entry occupancy).,,persists_for,False,,MED
exists,"Temporal logic, set operations, and aggregation",supported,Native catalog operator exists.,,exists,False,,HIGH
falling_edge,"Temporal logic, set operations, and aggregation",supported,True->false transition of a predicate; detectable as the end boundary of a persists_for interval / state_change. Operator.,,persists_for boundary,False,,MED
filter_entities,"Temporal logic, set operations, and aggregation",supported,"Predicate-select a subset of entities (e.g. via relative_position_to_line, pairwise_distance gt). Operator filter.",,"relative_position_to_line, gt",False,,MED
finishes_with,"Temporal logic, set operations, and aggregation",supported,Allen 'finishes'; sequence terminal element via pass_chain_episode terminal reception / action_chain last anchor. Operator.,,"action_chain, pass_chain_episode",False,,MED
followed_by,"Temporal logic, set operations, and aggregation",supported,Ordered sequencing of anchors within same possession = action_chain / sequence_pattern. Operator.,,action_chain,False,,HIGH
for_all,"Temporal logic, set operations, and aggregation",supported,"Universal quantifier over an entity set; negation of exists-counterexample, expressible with count_at_least == N / eq. Operator.",,"count_at_least, eq",False,,MED
gap_tolerant_persistence,"Temporal logic, set operations, and aggregation",supported,persists_for with tolerance for short dropouts; persists_for + tracking_quality UNKNOWN handling gives gap-tolerant interval assertion. Operator.,,"persists_for, tracking_quality",True,true: declare dropout-tolerance window,MED
group_by_entity,"Temporal logic, set operations, and aggregation",supported,"Partition measurements per entity; pairwise_distance/velocity are per-entity, count aggregates. Operator group_by.",,per-entity pairwise_distance,False,,MED
group_by_possession,"Temporal logic, set operations, and aggregation",supported,possession_segment + action_chain (never bridges turnover) partition by possession. Operator group_by.,,"possession_segment, action_chain",False,,HIGH
hysteresis_episode,"Temporal logic, set operations, and aggregation",supported,Two-threshold debounced interval; persists_for + gt/lte dual thresholds. Operator (debounce variant).,,"persists_for, gt+lte",True,true: declare dual-threshold latch,LOW
integral,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,Time-integral/accumulation over a signal; persists_for+window give intervals but no continuous accumulate/sum operator exists in catalog. Gap: integral aggregation operator.,integral/accumulate aggregation operator,persists_for duration (length only),False,,MED
intersection,"Temporal logic, set operations, and aggregation",supported,"Set/interval intersection; conjunction of predicates over same window via exists + persists_for overlap, local_number set algebra. Operator.",,persists_for overlap,True,true: declare interval-intersection rule,MED
join_by_anchor,"Temporal logic, set operations, and aggregation",supported,Align measurements to a common action_event_anchor; change_across_anchor already keys on an anchor. Operator join.,,"action_event_anchor, change_across_anchor",False,,MED
join_by_episode,"Temporal logic, set operations, and aggregation",supported,Align measurements to an episode interval; pass_chain_episode/possession_segment give episode keys for joins. Operator join.,,"pass_chain_episode, possession_segment",False,,MED
local_maximum,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,[audit-corrected] Peak of a measured time series; rising-then-falling edge via gt threshold over velocity etc. Operator (argmax over window). — relies on an aggregation/extremum operator absent from the catalog (only gt/gte/lte/eq/neq/persists_for/exists/count_at_least exist).,aggregation/extremum operator (argmax/integral/median/quantile),"gt threshold, change_across_anchor",False,,LOW
local_minimum,"Temporal logic, set operations, and aggregation",supported,Trough of a measured series via lte threshold; dual of local_maximum. Operator.,,lte threshold,False,,LOW
map_entities,"Temporal logic, set operations, and aggregation",supported,"Apply a per-entity measurement (e.g. pairwise_distance, velocity) across an entity set. Operator map.",,per-entity velocity/pairwise_distance,False,,MED
max_over,"Temporal logic, set operations, and aggregation",supported,Max aggregation over a window; gte ordering selects max of measured series. Aggregation operator.,,gte ordering,False,,MED
mean_over,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,Arithmetic mean over a window; catalog has count/threshold ordering but no declared averaging aggregator. Gap: mean aggregation operator.,mean/average aggregation operator,"count_at_least, window",False,,MED
median_over,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,Median over a window needs rank+select aggregator; ordering operators exist but no median/quantile aggregator declared. Gap: quantile aggregation operator.,median/quantile aggregation operator,gte/lte ordering,False,,LOW
meets,"Temporal logic, set operations, and aggregation",supported,Allen 'meets' (interval end touches next start); adjacency of persists_for intervals / consecutive action_chain anchors. Operator.,,"persists_for, action_chain",False,,LOW
min_over,"Temporal logic, set operations, and aggregation",supported,Min aggregation over window via lte ordering. Aggregation operator.,,lte ordering,False,,MED
n_of_m,"Temporal logic, set operations, and aggregation",supported,At least n true samples within m-window; count_at_least over a windowed boolean. Operator.,,"count_at_least, window",False,,MED
normalize,"Temporal logic, set operations, and aggregation",supported,"Scale a value to a normalized range; ball_lateral_fraction is exactly a normalized-distance primitive, demonstrating normalization is in-catalog. Operator.",,ball_lateral_fraction,False,,LOW
overlaps,"Temporal logic, set operations, and aggregation",supported,Allen 'overlaps'; two persists_for intervals share a sub-window. Operator.,,persists_for,True,true: declare interval-overlap test,MED
persists_for,"Temporal logic, set operations, and aggregation",supported,Native catalog operator persists_for.,,persists_for,False,,HIGH
persists_for_total,"Temporal logic, set operations, and aggregation",supported,Cumulative time a predicate holds across (possibly gapped) sub-intervals; persists_for + gap-tolerant accumulation of interval lengths. Operator.,,persists_for,True,true: declare summed-interval accumulation,LOW
preceded_by,"Temporal logic, set operations, and aggregation",supported,Reverse of followed_by; prior anchor in action_chain ordering. Operator.,,action_chain,False,,MED
probability_at_least,"Temporal logic, set operations, and aggregation",missing_modality,Thresholding a probability requires a probability source; all probabilistic/value models are unimplemented learned models. Operator is moot without a probability input.,learned probabilistic models,gte (on deterministic values only),False,,LOW
quantile_over,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,Quantile aggregation over a window; ordering operators exist but no declared quantile aggregator. Gap: quantile aggregation operator.,quantile aggregation operator,gte/lte ordering,False,,LOW
rank,"Temporal logic, set operations, and aggregation",supported,"Order elements by a measured value; multi_line_model already emits ranked lines, gte ordering ranks any set. Operator.",,"multi_line_model ranking, gte",False,,MED
rate,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,"Events/units per time; count_at_least gives numerator and window gives denominator, but no declared division/rate aggregator. Gap: rate aggregation operator. (velocity is a built-in rate but not generic).",generic rate (count/time) aggregator,"count_at_least + window, velocity",False,,MED
resample,"Temporal logic, set operations, and aggregation",supported,Re-time a series to a target grid; tracking frame clock + per-frame sampling supports resampling. Operator (data-handling).,,tracking_quality per-frame clock,False,,LOW
rising_edge,"Temporal logic, set operations, and aggregation",supported,False->true predicate transition = start boundary of a persists_for interval / state_change. Operator.,,persists_for boundary,False,,MED
same_action,"Temporal logic, set operations, and aggregation",supported,Identity predicate over action anchors; action_event_anchor identity within action_chain. Operator.,,action_event_anchor,False,,MED
same_player,"Temporal logic, set operations, and aggregation",supported,"Player-identity predicate; action_chain is player-linked, pairwise_distance keyed on player ids. Operator.",,action_chain player-linkage,False,,MED
same_possession,"Temporal logic, set operations, and aggregation",supported,possession_segment + action_chain (never bridges turnover) defines same-possession. Operator.,,"possession_segment, action_chain",False,,HIGH
same_team,"Temporal logic, set operations, and aggregation",supported,"Team-membership predicate available from team-keyed primitives (possession_segment, defensive_outfield_centroid). Operator. (general team membership exists implicitly).",,possession_segment team key,False,,MED
sequence_pattern,"Temporal logic, set operations, and aggregation",supported,Match an ordered template of anchors; pass_chain_episode / action_chain frame-ordered same-possession sequences. Operator.,,"action_chain, pass_chain_episode",False,,HIGH
since,"Temporal logic, set operations, and aggregation",supported,Elapsed-since-anchor measured against canonical clock; change_across_anchor + clock. Operator.,,action_event_anchor + clock,False,,MED
slope,"Temporal logic, set operations, and aggregation",supported,"Rate of change of a measured value over a lookback; velocity is exactly a displacement-slope primitive, and change_across_anchor/lookback gives slope of any series. Operator.",,"velocity, change_across_anchor",False,,MED
starts_with,"Temporal logic, set operations, and aggregation",supported,Allen 'starts'; first anchor of an action_chain / first leg of pass_chain_episode. Operator.,,action_chain first anchor,False,,MED
state_change,"Temporal logic, set operations, and aggregation",supported,Transition of a discrete state; change_across_anchor + persists_for edges. Operator.,,change_across_anchor,False,,MED
threshold,"Temporal logic, set operations, and aggregation",supported,Native gt/gte/lte/eq comparison operators ARE thresholding.,,"gt, gte, lte, eq",False,,HIGH
top_k,"Temporal logic, set operations, and aggregation",supported,Select highest-k by a measured value; rank/gte ordering + count_at_least cutoff. Operator.,,"gte ordering, count_at_least",False,,MED
union,"Temporal logic, set operations, and aggregation",supported,"Set/interval union; disjunction of predicates over windows, merge of entity sets. Operator.",,"persists_for, local_number_relation",True,true: declare interval/set union rule,MED
until,"Temporal logic, set operations, and aggregation",supported,Predicate holds until a terminating event; persists_for interval truncated at an action_event_anchor. Operator.,,"persists_for, action_event_anchor",False,,MED
window,"Temporal logic, set operations, and aggregation",supported,Bounded evaluation window; relation_destination_entry and support_arrival are native window primitives. Operator window.,,relation_destination_entry window,False,,HIGH
within,"Temporal logic, set operations, and aggregation",supported,Predicate true within N-frame window of an anchor = the outcome-window mechanic of relation_destination_entry / support_arrival_relation. Operator within.,,relation_destination_entry window,False,,HIGH
association_not_causation_record,"Outcomes, continuation, and consequences",ambiguous_or_needs_definition,"A governance/provenance caveat annotation, not a measurable on-pitch concept; needs operationalization of what record it attaches to before it can be classified.",,outcome_classification provenance,False,,LOW
box_entry_within,"Outcomes, continuation, and consequences",partial_with_typed_gap,Outcome-window = relation_destination_entry + within operator; core supported. Gap: 'box' as penalty-area is a structured_zone not in catalog (only ball_lateral_fraction side/width exists).,structured_zones (penalty area),relation_destination_entry within window,False,,MED
continuation_state,"Outcomes, continuation, and consequences",supported,Whether the same possession continues after an anchor; possession_segment + action_chain (does not bridge turnover) + outcome_classification. Outcome-window concept.,,"possession_segment, action_chain",False,,HIGH
final_third_entry_within,"Outcomes, continuation, and consequences",partial_with_typed_gap,relation_destination_entry + within gives the outcome window; but 'final third' is a structured longitudinal zone not in catalog. Gap: structured_zones (pitch thirds).,structured_zones (final third),relation_destination_entry within window,False,,MED
foul_won_within,"Outcomes, continuation, and consequences",partial_with_typed_gap,within-window mechanic supported and a foul can be an action_event_anchor IF event-marked; but foul/free-kick award is a refereeing adjudication not derivable from tracking. Gap: law adjudication (foul) unless event-supplied.,foul/law adjudication primitive (or event mark),action_event_anchor (if event-marked) + within,False,,MED
line_state_change_after,"Outcomes, continuation, and consequences",supported,change_across_anchor of defensive_line_model / multi_line_model state across an action anchor. Outcome/consequence concept.,,"change_across_anchor, defensive_line_model",False,,MED
option_count_change_after,"Outcomes, continuation, and consequences",partial_with_typed_gap,"change_across_anchor of a count is supported; but 'options' = available pass options requires reachability/time_to_arrival to define an option, which is missing. Gap: time_to_arrival/reachability.",time_to_arrival/reachability (passing option),change_across_anchor + local_number_relation,False,,MED
outcome_horizon_bundle,"Outcomes, continuation, and consequences",supported,A bundle of multiple within-horizon outcomes evaluated off one anchor; relation_destination_entry/change_across_anchor each over a shared window. Aggregation of outcome windows.,,"relation_destination_entry, change_across_anchor",True,true: declare shared-horizon outcome bundle,MED
possession_retained_for,"Outcomes, continuation, and consequences",supported,possession_segment persists past anchor for duration D; possession_segment + persists_for/within. Outcome-window concept.,,"possession_segment, persists_for",False,,HIGH
pressure_change_after,"Outcomes, continuation, and consequences",supported,change_across_anchor applied to pressure_on_carrier (nearest-defender/closing/angle). Consequence concept.,,"change_across_anchor, pressure_on_carrier",False,,HIGH
restart_won_within,"Outcomes, continuation, and consequences",partial_with_typed_gap,within-window + action_event_anchor restart (throw-in etc. if event-marked) supported; but determining a restart was 'won' needs the award event (out-of-bounds/foul adjudication) which tracking alone doesn't supply. Gap: restart award/law adjudication unless event-supplied.,restart-award adjudication (or event mark),action_event_anchor restart + within,False,,MED
same_player_control_after,"Outcomes, continuation, and consequences",supported,Within window the same player regains/keeps ball control; action_chain player-linkage + controlled_pass_episode reception + within. Outcome-window concept.,,"action_chain, controlled_pass_episode",False,,MED
same_team_control_after,"Outcomes, continuation, and consequences",supported,Possession stays with same team within window; possession_segment (team-keyed) + within. Outcome-window concept.,,"possession_segment, within",False,,HIGH
shape_change_after,"Outcomes, continuation, and consequences",supported,change_across_anchor of team_compactness (width/depth/dispersion) / defensive_outfield_centroid across an anchor. Consequence concept.,,"change_across_anchor, team_compactness",False,,MED
shot_within,"Outcomes, continuation, and consequences",partial_with_typed_gap,"within-window supported; a shot can be an action_event_anchor IF event-marked, then shot_within = exists(shot anchor) within window. Gap: shot detection itself is event-dependent (no shot primitive derivable from tracking alone).",shot action primitive (or event mark),action_event_anchor (if event-marked) + within,False,,MED
space_gain_after,"Outcomes, continuation, and consequences",partial_with_typed_gap,"change_across_anchor of a measured quantity is supported, but 'space' (free/controlled area) needs pitch-control/reachability fields that are unimplemented. Gap: pitch_control/reachability (space).",pitch_control / time_to_arrival (space),"change_across_anchor, free_space_radius(if any)",False,,MED
territorial_gain_after,"Outcomes, continuation, and consequences",supported,change_across_anchor of ball longitudinal progression / possession advance; controlled_pass_episode forward progression + change_across_anchor. Consequence concept (directness/territory).,,"change_across_anchor, forward progression",False,,MED
turnover_within,"Outcomes, continuation, and consequences",supported,Possession change within window; possession_segment boundary (action_chain never bridges turnover) + within. Outcome-window concept.,,"possession_segment, within",False,,HIGH
attacking_direction,"Match clock, laws, and contextual state",supported,Direction of attack (which goal) is derivable from tracking geometry + forward-progression sign already used by controlled_pass_episode; a fixed per-period attack orientation. Contextual state.,,forward progression orientation,False,,HIGH
ball_in_play_state,"Match clock, laws, and contextual state",partial_with_typed_gap,"In/out-of-play boundary; restarts are action_event_anchors (if event-marked) and possession_segment marks active intervals, but determining ball-out-of-bounds from tracking needs a touchline/goal-line crossing law check not in catalog. Gap: out-of-play boundary adjudication unless event-supplied.",out-of-bounds/dead-ball adjudication (or event mark),"possession_segment, action_event_anchor restarts",False,,MED
canonical_match_clock,"Match clock, laws, and contextual state",supported,Tracking has a frame clock; period/time mapping gives canonical match time. Per task note clock is supported.,,tracking frame clock,False,,HIGH
competition_context,"Match clock, laws, and contextual state",role_or_reference_gap,Competition/league/match metadata is an external reference attribute not modeled by any tracking/event primitive; an unresolved reference.,match-metadata reference,,False,,LOW
game_state_window,"Match clock, laws, and contextual state",partial_with_typed_gap,"A window keyed on game-state (e.g. score margin / time band); window mechanic + clock supported, but score-state needs a goal/score reference not modeled (goals are not a tracking primitive). Gap: score reference.",score/scoreline reference,window + canonical clock,False,,MED
match_status_state,"Match clock, laws, and contextual state",partial_with_typed_gap,"In-progress/halftime/finished status; period_episode boundaries from clock give most of it, but kickoff/whistle status needs match-control event marks not in tracking catalog. Gap: match-control event reference.",match-control/status event reference,period boundaries via clock,False,,LOW
numerical_strength_state,"Match clock, laws, and contextual state",partial_with_typed_gap,"11v11 vs 11v10 (red cards) state; on-pitch player count is countable via tracking presence, but attributing a deficit to a dismissal/red-card is a law/event reference not modeled. Gap: dismissal/card event reference.",dismissal/card law event reference,on-pitch count via tracking_quality presence,False,,MED
period_episode,"Match clock, laws, and contextual state",supported,"First/second half (and ET) intervals partitioned by the tracking match clock; persists_for over period boundaries. Clock-derived, supported per task note.",,"canonical clock, persists_for",False,,HIGH
pitch_dimensions,"Match clock, laws, and contextual state",supported,Pitch extent is the coordinate frame underlying all tracking geometry (ball_lateral_fraction normalization requires known touchline/width). Contextual constant from the tracking frame.,,ball_lateral_fraction normalization frame,False,,MED
remaining_time,"Match clock, laws, and contextual state",supported,Period length minus canonical clock elapsed; clock arithmetic. Supported per task note (time-window/clock).,,"canonical clock, period_episode",False,,MED
restart_episode,"Match clock, laws, and contextual state",supported,A restart as a typed anchor with surrounding interval; action_event_anchor (restarts like throw-in if event-marked) + window. Matches calibration throw-in example.,,action_event_anchor restart,False,,HIGH
restart_state,"Match clock, laws, and contextual state",partial_with_typed_gap,"Whether play is currently in a restart/dead-ball state; entry into it is an action_event_anchor restart, but the dead-ball persistence boundary depends on out-of-play adjudication. Gap: dead-ball/out-of-play adjudication unless event-supplied.",dead-ball boundary adjudication (or event mark),action_event_anchor restart + persists_for,False,,MED
score_state,"Match clock, laws, and contextual state",role_or_reference_gap,Current scoreline; goals/score are an external match-state reference not modeled by any tracking/event primitive (no goal primitive). Unresolved reference.,score/goal reference,,False,,MED
stoppage_time_state,"Match clock, laws, and contextual state",partial_with_typed_gap,"Added-time band at end of a period; clock gives elapsed past nominal period length, but the referee's awarded stoppage amount is an external match-control reference. Gap: awarded stoppage-time reference.",awarded stoppage-time reference,canonical clock past nominal period end,False,,LOW
weather_and_surface_context,"Match clock, laws, and contextual state",missing_modality,Weather/pitch-surface conditions are not present in tracking or event data; needs an external environmental data source we lack.,environmental/weather data modality,,False,,LOW
arrive_in_region_episode,Off-ball attacking movement and behavior,supported,"support_arrival_relation + relation_destination_entry detect a player arriving in a destination region within a window; pairwise_distance(player,region)+persists_for confirm occupancy.",,support_arrival_relation + relation_destination_entry + pairwise_distance,False,,LOW
box_entry_run,Off-ball attacking movement and behavior,partial_with_typed_gap,"velocity+pairwise_distance(player,box-region) detect kinematic run into box, but 'box' is a fixed region not a typed structured zone; entry-into-region is expressible via relation_destination_entry, the off-ball 'run' typing is the gap.",off_ball_run (run typing),velocity + relation_destination_entry into penalty-area region,False,,MED
check_away_then_to_ball,Off-ball attacking movement and behavior,missing_primitive,named two-phase tactical run (move away then back to ball); requires off_ball_run typing with directional phase sequencing not derivable from velocity alone.,off_ball_run (phased run typing),velocity + movement_toward_ball sign change,False,,MED
check_to_ball_then_behind,Off-ball attacking movement and behavior,missing_primitive,named two-phase run (to ball then in behind); needs off_ball_run phased typing beyond raw velocity direction.,off_ball_run (phased run typing),velocity + run_beyond_last_line proxy,False,,MED
curved_run_candidate,Off-ball attacking movement and behavior,missing_primitive,"requires path-curvature classification of an off-ball run; no curvature/run primitive exists, velocity gives speed not trajectory shape.",off_ball_run (trajectory curvature),velocity (heading change proxy only),False,,LOW
cutback_support_run,Off-ball attacking movement and behavior,missing_primitive,named tactical support run for a cutback; needs off_ball_run typing tied to ball-carrier byline position; not reducible to support_arrival alone.,off_ball_run (run typing),support_arrival_relation BEHIND_BALL_OUTLET,False,,MED
decoy_run_candidate,Off-ball attacking movement and behavior,missing_primitive,decoy = run intended to draw a marker without receiving; requires off_ball_run typing + marker-attraction inference; no run/marking primitive exists.,off_ball_run + marking,velocity + local_number_relation,False,,MED
diagonal_run_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,"diagonal = kinematic heading combining forward+lateral; velocity vector direction expresses it, but 'run' episode segmentation/typing is the gap.",off_ball_run (run typing),velocity (diagonal heading component),False,,MED
dragging_run_candidate,Off-ball attacking movement and behavior,missing_primitive,dragging a defender out of position needs off_ball_run + marking (defender follows runner); marking primitive absent.,off_ball_run + marking,"pairwise_distance(runner,defender) co-movement proxy",False,,MED
defender_displacement,Off-ball attacking movement and behavior,partial_with_typed_gap,displacement of a defender measurable via velocity+pairwise_distance/change_across_anchor; attributing it to an attacker's run (marking causality) is the gap.,marking (assignment causality),change_across_anchor on defender position + velocity,False,,MED
drop_between_units,Off-ball attacking movement and behavior,partial_with_typed_gap,between-units position expressible via multi_line_model ranked lines + relative_position_to_line; the 'drop' movement episode needs off_ball_run typing.,off_ball_run (run typing),multi_line_model + relative_position_to_line + velocity,False,,MED
far_post_run_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,arrival at far-post region via relation_destination_entry/support_arrival; 'run' typing to a goalmouth zone is the gap.,off_ball_run + structured_zones (goalmouth),relation_destination_entry far-post region + velocity,False,,MED
hold_depth_candidate,Off-ball attacking movement and behavior,supported,holding depth = maintaining position relative to last line; relative_position_to_line + multi_line_model(rank-N) + persists_for express staying beyond/on the line.,,relative_position_to_line + multi_line_model + persists_for,False,,LOW
hold_width_candidate,Off-ball attacking movement and behavior,supported,holding width = staying in wide lane; lane_occupancy (attacking) + ball_lateral_fraction/pairwise_distance to touchline + persists_for.,,lane_occupancy + persists_for,False,,LOW
marker_attraction_candidate,Off-ball attacking movement and behavior,missing_primitive,attracting a marker requires marking primitive (assignment + follow); not expressible from proximity alone.,marking,"pairwise_distance(attacker,nearest defender) co-movement",False,,MED
movement_away_from_ball,Off-ball attacking movement and behavior,supported,"velocity vector component relative to ball position; pairwise_distance(player,ball) increasing over lookback with velocity gives directional movement away from ball.",,"velocity + pairwise_distance(player,ball)",False,,LOW
movement_away_from_goal,Off-ball attacking movement and behavior,supported,"velocity longitudinal sign + pairwise_distance(player,goal-region) increasing.",,"velocity + pairwise_distance(player,goal)",False,,LOW
movement_inside,Off-ball attacking movement and behavior,supported,velocity lateral component toward centerline; ball_lateral_fraction analog / pairwise_distance to centerline decreasing.,,velocity (lateral component) + lane_occupancy,False,,LOW
movement_outside,Off-ball attacking movement and behavior,supported,velocity lateral component toward touchline; mirror of movement_inside.,,velocity (lateral component) + lane_occupancy,False,,LOW
movement_to_depth,Off-ball attacking movement and behavior,supported,velocity forward/longitudinal toward opponent goal over lookback.,,"velocity (longitudinal) + pairwise_distance(player,goal)",False,,LOW
movement_to_receive_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,"movement creating a passing option; support_arrival/offer_window pieces + velocity give the kinematics, but 'to receive' intent ties to passing-lane availability (time_to_arrival) for the open-lane clause.",time_to_arrival (lane availability),support_arrival_relation + velocity + geometric_progressive_corridor,False,,MED
movement_to_width,Off-ball attacking movement and behavior,supported,velocity lateral component toward touchline + lane_occupancy into wide lane.,,velocity + lane_occupancy,False,,LOW
movement_toward_ball,Off-ball attacking movement and behavior,supported,"pairwise_distance(player,ball) decreasing + velocity heading toward ball.",,"velocity + pairwise_distance(player,ball)",False,,LOW
movement_toward_goal,Off-ball attacking movement and behavior,supported,"velocity longitudinal toward opponent goal + pairwise_distance(player,goal) decreasing.",,"velocity + pairwise_distance(player,goal)",False,,LOW
near_post_run_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,arrival at near-post via relation_destination_entry; run typing + goalmouth structured zone is the gap.,off_ball_run + structured_zones (goalmouth),relation_destination_entry near-post region + velocity,False,,MED
occupy_region_episode,Off-ball attacking movement and behavior,supported,"pairwise_distance(player,region) within threshold + persists_for; lane_occupancy expresses lane occupation.",,"pairwise_distance(player,region) + persists_for; lane_occupancy",False,,LOW
off_ball_run_effect,Off-ball attacking movement and behavior,missing_primitive,effect (space/defender displacement) attributed to a typed off-ball run; needs off_ball_run primitive plus marking causality.,off_ball_run + marking,change_across_anchor + local_number_relation,False,,MED
offer_window_episode,Off-ball attacking movement and behavior,partial_with_typed_gap,"a player offering an open receiving window; geometric_progressive_corridor + support_arrival express clear connection, but 'window stays open' (lane not interceptable) needs time_to_arrival.",time_to_arrival (lane openness),geometric_progressive_corridor + support_arrival_relation + persists_for,False,,MED
offering_to_receive_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,"player making self available; support_arrival + corridor pieces, open-lane clause needs time_to_arrival.",time_to_arrival (lane availability),support_arrival_relation + geometric_progressive_corridor,False,,MED
overlap_candidate,Off-ball attacking movement and behavior,missing_primitive,overlap = named run outside/beyond ball-carrier; per calibration most named runs need off_ball_run typing; pairwise co-movement insufficient to type it.,off_ball_run (run typing),"pairwise_distance(runner,carrier) + velocity + lane_occupancy",False,,MED
pinning_candidate,Off-ball attacking movement and behavior,missing_primitive,pinning a defender (holding them in place) needs marking + off_ball positioning effect; not from proximity alone.,off_ball_run + marking,"pairwise_distance(attacker,defender) low-velocity hold",False,,MED
position_exchange_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,"two teammates swapping positions detectable via crossing pairwise trajectories + velocity, but coordinated swap typing needs off_ball_run/coordination primitive.",off_ball_run (coordination/run typing),pairwise_distance + velocity trajectory crossing,True,,MED
rebound_positioning_candidate,Off-ball attacking movement and behavior,partial_with_typed_gap,"positioning for a rebound around goal; occupy_region/pairwise_distance express position, but rebound anticipation ties to shot/goalmouth structured zone absent.",structured_zones (goalmouth) / shot anchor,"pairwise_distance(player,box) + persists_for",False,,LOW
rotation_candidate,Off-ball attacking movement and behavior,missing_primitive,positional rotation among multiple players is a coordinated multi-runner motif; needs off_ball_run + coordination typing.,off_ball_run (multi-player coordination),velocity + pairwise_distance among unit,False,,MED
run_across_line,Off-ball attacking movement and behavior,supported,receiver_line_transition_during_pass_leg / controlled_line_break + relative_position_to_line capture a player crossing an observed line; velocity confirms run.,,relative_position_to_line + receiver_line_transition + velocity,False,,LOW
